0,Uppland,1,9486
8,Uppland,1,1900
15,Uppland,1,2432
31,Uppland,1,5259
43,Uppland,1,57059
48,Uppland,1,32223
52,Uppland,1,6965
56,Uppland,1,107247
60,Uppland,1,64195
68,Uppland,1,5210
80,Uppland,1,3039
81,Uppland,1,2320
82,Uppland,1,9040
83,Uppland,1,21146
84,Uppland,1,12271
85,Uppland,1,35550
86,Uppland,1,33221
87,Uppland,1,44650
88,Uppland,1,43794
89,Uppland,1,145487
90,Uppland,1,28804
91,Uppland,1,14642
0,Södermanland,2,25306
8,Södermanland,2,7343
15,Södermanland,2,4731
31,Södermanland,2,8512
43,Södermanland,2,16922
48,Södermanland,2,6916
52,Södermanland,2,4522
56,Södermanland,2,1438
60,Södermanland,2,14699
68,Södermanland,2,2841
80,Södermanland,2,1366
81,Södermanland,2,727
82,Södermanland,2,2398
83,Södermanland,2,5956
84,Södermanland,2,4843
85,Södermanland,2,2006
86,Södermanland,2,6618
87,Södermanland,2,7951
88,Södermanland,2,24711
89,Södermanland,2,50360
90,Södermanland,2,30673
91,Södermanland,2,6588
0,Östergötland,3,4079
8,Östergötland,3,1594
15,Östergötland,3,21613
31,Östergötland,3,1169
43,Östergötland,3,14241
48,Östergötland,3,7233
52,Östergötland,3,925
56,Östergötland,3,2012
60,Östergötland,3,61137
68,Östergötland,3,2416
80,Östergötland,3,926
81,Östergötland,3,2289
82,Östergötland,3,11275
83,Östergötland,3,24426
84,Östergötland,3,3743
85,Östergötland,3,9380
86,Östergötland,3,2644
87,Östergötland,3,14178
88,Östergötland,3,11101
89,Östergötland,3,16036
90,Östergötland,3,5357
91,Östergötland,3,1960
0,Västergötland,4,12692
8,Västergötland,4,2334
15,Västergötland,4,1116
31,Västergötland,4,1178
43,Västergötland,4,4992
48,Västergötland,4,1198
52,Västergötland,4,1310
56,Västergötland,4,134
60,Västergötland,4,11341
68,Västergötland,4,2015
80,Västergötland,4,1786
81,Västergötland,4,838
82,Västergötland,4,5978
83,Västergötland,4,8119
84,Västergötland,4,3961
85,Västergötland,4,5485
86,Västergötland,4,5260
87,Västergötland,4,6638
88,Västergötland,4,11211
89,Västergötland,4,8492
90,Västergötland,4,3646
91,Västergötland,4,1798
0,Småland,5,1699
8,Småland,5,94
15,Småland,5,9
31,Småland,5,449
43,Småland,5,3148
48,Småland,5,231
52,Småland,5,164
56,Småland,5,628
60,Småland,5,8758
68,Småland,5,464
80,Småland,5,760
81,Småland,5,547
82,Småland,5,4172
83,Småland,5,5276
84,Småland,5,2761
85,Småland,5,4366
86,Småland,5,3081
87,Småland,5,2095
88,Småland,5,1358
89,Småland,5,1848
90,Småland,5,2101
91,Småland,5,606
0,Gotland,6,6216
8,Gotland,6,1157
15,Gotland,6,703
31,Gotland,6,2036
43,Gotland,6,23012
48,Gotland,6,2443
52,Gotland,6,5843
56,Gotland,6,14158
60,Gotland,6,9249
68,Gotland,6,1019
80,Gotland,6,777
81,Gotland,6,745
82,Gotland,6,8535
83,Gotland,6,5208
84,Gotland,6,1583
85,Gotland,6,4618
86,Gotland,6,3140
87,Gotland,6,2529
88,Gotland,6,3266
