1,1,137269,arkeologi
1,4,198,etnografi
1,6,1,gotland
1,12,742,kärl
1,13,13641,pottery
1,21,80,keramik
1,23,887,vapen
1,25,48,erland nordenskiöld
1,26,135,dräkt
1,27,1,skåne
1,30,1,småland
1,33,260,sven hedin
1,35,1,vessel
1,37,1358,förvaring
1,39,364,redskap och verktyg (410)
1,40,1,spänne
1,49,844,eric von rosen
1,52,783,"von rosen, eric"
1,54,17,beslag
1,60,1,vanadisexpeditionen
1,61,5230,"nimuendaju, kurt"
1,62,5230,"unckel, curt"
1,63,7240,utgrävningar i teotihuacan
1,68,783,chaco-cordiller-expeditionen
1,72,18,huvudbonad
1,73,1,kvinnor
1,77,4,ben
1,80,695,redskap
1,81,4,föremål
1,83,1,kvinna
1,84,1,stockholm
1,88,220,konst (530)
1,90,12,leksaker
1,93,1,halland
1,95,5,undervisningsmateriel
1,96,6,j. g. andersson
1,97,6,kina-gunnar
1,101,3,vävning
1,104,7,utbildning
1,106,7,undervisningsväsen
1,108,1,handel
1,109,2,bohuslän
1,110,5,teaching - aids and devices@eng
1,118,1,pärla
1,121,5,läromedel
1,122,20,kroppens prydnande och vård (300)
1,123,985,aashaug
1,126,1,konst
1,130,1,möbler
1,132,84,betalningsmedel
1,137,8,smycken (301)
1,138,134,lergods
1,141,4,kärl och behållare (415)
1,144,8,konsthantverk
1,145,3,vapen (411)
1,146,420,topografi
1,147,184,skjutvapen
1,158,2,fotografering
1,159,353,fjärrstridsvapen
1,161,217,bildkonst (532)
1,168,18,fiske
1,178,78,dräkttillbehör
1,179,106,smycken
1,180,7,fragment
1,182,1,skulptur
1,188,3,spel
1,200,1,uppsala
1,205,53,musikinstrument
1,206,890,skrift
1,207,17,trosföreställningar (770)
1,208,1,mynt
1,209,25,bildkonst
1,219,5,verktyg
1,224,1,lekar
1,226,107,skolundervisning
1,233,10,sten
1,235,351,redskap i allmänhet (412)
1,248,25,sverige
1,258,2,behållare
1,263,187,weapons@eng
1,265,658,amerika
1,269,82,personliga föremål
1,279,575,statens etnografiska museums expedition till mexico 1934-35.
1,281,1880,mänskliga kvarlevor
1,285,20,träbearbetning
1,286,34,klimat
1,291,1,dräkt (290)
1,298,14,båtar
1,304,79,skodon
1,307,10,smycke
1,312,5,belysning
1,314,5,"samlande, jakt och fiske (220)"
1,318,2,lås
1,320,3,detaljhandel
